fecha,banco,indice_ev_individual,indice_ev_grupal,indice_cartera_normal,indice_cartera_subestandar,indice_cartera_incumplimiento
2016-10-01,Itaú Corpbanca,,57.04859567075285,42.95140432924714,0.7486906704100212,11.66796742228229
2016-10-01,"JP Morgan Chase Bank, N.A.",,,,,
2016-10-01,Rabobank Chile,,100.0,0.0,0.40261602787905026,1.4713479361159305
2016-10-01,Scotiabank Chile,,41.47992853368197,58.52007146631802,0.9484240181660499,20.70138380311575
2016-10-01,"The Bank of Tokyo-Mitsubishi UFJ, Ltd.",,100.0,0.0,1.337845146955249,
2016-11-01,Banco BTG Pactual Chile,,100.0,0.0,0.24814181912891234,0.0
2016-11-01,Banco Bice,,76.225194504253,23.774805495746996,0.6363862857636768,6.53235896575677
2016-11-01,"Banco Bilbao Vizcaya Argentaria, Chile",,44.615130977244455,55.384869022755545,0.7982591157479414,8.184146003268982
2016-11-01,Banco Consorcio,,91.07792728665645,8.922072713343553,0.865594190033445,9.387444648295224
2016-11-01,Banco Falabella,,1.3040944147942352e-10,99.99999999986959,3.358447783812845,
2016-11-01,Banco Internacional,,96.31075005364686,3.689249946353145,1.0079516665282844,3.010151278614213
2016-11-01,Banco Paris,,0.0,100.0,0.169480342600862,
2016-11-01,Banco Penta,,100.0,0.0,1.7598211649792892,0.0
2016-11-01,Banco Ripley,,0.0,100.0,3.466292224083108,
2016-11-01,Banco Santander-Chile,,42.2127493724085,57.78725062759149,1.1534702845699307,7.559490816443396
2016-11-01,Banco Security,,73.11120102945179,26.888798970548205,0.7135094644302391,1.577250423290025
2016-11-01,Banco de Chile,,48.97465569107318,51.025344308926826,1.3050767630727105,17.01066371455117
2016-11-01,Banco de Crédito e Inversiones,,48.653855955425385,51.346144044574615,0.47755138139115927,7.449071226776153
2016-11-01,Banco de la Nación Argentina,,99.1180987240543,0.8819012759456982,0.7237991454468616,8.687015923699608
2016-11-01,Banco del Estado de Chile,,38.17350944442625,61.826490555573756,1.2896247385144057,7.17711145742173
2016-11-01,Banco do Brasil S.A.,,100.0,0.0,2.7143630462867425,11.680152827154185
2016-11-01,"China Construction Bank, Agencia en Chile",,100.0,0.0,0.6211223744152603,
2016-11-01,Fuente: Superintendencia de Bancos e Instituciones Financieras (Chile),,,,,
2016-11-01,HSBC Bank (Chile),,99.94885766248674,0.05114233751325746,3.5790010746005225,9.840816301894863
2016-11-01,Itaú Corpbanca,,57.49241441411923,42.50758558588077,0.8001713644070796,11.891456602709079
2016-11-01,"JP Morgan Chase Bank, N.A.",,,,,
2016-11-01,Rabobank Chile,,100.0,0.0,0.4294865297947233,1.6839290114712344
2016-11-01,Scotiabank Chile,,42.16650569927111,57.83349430072888,0.9612142756398925,20.9291626336524
2016-11-01,"The Bank of Tokyo-Mitsubishi UFJ, Ltd.",,100.0,0.0,2.0062551015305106,
2016-12-01,Banco BTG Pactual Chile,,100.0,0.0,0.18043689936455154,0.0
2016-12-01,Banco Bice,,75.73772173452461,24.26227826547539,0.6352623710008029,4.453010611522726
2016-12-01,"Banco Bilbao Vizcaya Argentaria, Chile",,44.39769771826625,55.60230228173375,0.8144027730284762,5.722484893497611
2016-12-01,Banco Consorcio,,91.14973740797419,8.850262592025809,0.8426628941730149,15.746899899504548
2016-12-01,Banco Falabella,,1.2929175275991961e-10,99.99999999987071,3.3551698125795912,
2016-12-01,Banco Internacional,,96.33781816646044,3.6621818335395675,0.987968324713432,2.591304594066462
2016-12-01,Banco Paris,,0.0,100.0,0.13920452281659226,
2016-12-01,Banco Penta,,100.0,0.0,1.757097827360828,0.0
2016-12-01,Banco Ripley,,0.0,100.0,3.561973682671207,
2016-12-01,Banco Santander-Chile,,41.83088394273503,58.16911605726497,1.144481161378818,8.428177934022127
2016-12-01,Banco Security,,72.93763404064961,27.06236595935038,0.7104208597106724,1.4922327752936555
2016-12-01,Banco de Chile,,48.929009223237294,51.070990776762706,1.2544136193769335,17.00678019985908
2016-12-01,Banco de Crédito e Inversiones,,48.046328869243254,51.95367113075674,0.4695615965479521,6.328039376201923
2016-12-01,Banco de la Nación Argentina,,98.94319624054563,1.0568037594543727,0.8473303789066953,8.507741424930176
2016-12-01,Banco del Estado de Chile,,38.38478532724959,61.61521467275042,1.2892268401483398,7.107938577304214
2016-12-01,Banco do Brasil S.A.,,100.0,0.0,1.6358772585088004,11.644692770790158
2016-12-01,"China Construction Bank, Agencia en Chile",,100.0,0.0,0.4812040090768211,
2016-12-01,Fuente: Superintendencia de Bancos e Instituciones Financieras (Chile),,,,,
2016-12-01,HSBC Bank (Chile),,99.9413769362384,0.05862306376159879,3.611259100336897,9.073486109457619
2016-12-01,Itaú Corpbanca,,56.903091156936256,43.096908843063744,0.777625491158662,9.688706443536116
